abbreviation	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
ACC	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ALL	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AML																														
BLCA																														
BRCA																														
CERV																														
CHSC																														
CLL																														
COADREAD																														
GBM																														
LGG																														
HNSC																														
KICH																														
KIRC																														
KIRP																														
LICA																														
LUAD																														
LSC																														
LUSC																														
LBB																														
HODG																														
MEDU																														
SKCM																														
MYEL																														
NACA																														
NBLS																														
ESCA																														
OGBS																														
OSTE																														
OV																														
PAAD																														
PARA																														
PIAS																														
PROS																														
STAD																														
THCA																														
UCEC																														
UTCA																														
UT																														
UVM																														
